latitude,longitude,dpc_type,onsite
37.0487655,-93.30242489999999,Unknown/Other,No
38.8891566,-77.12856219999999,Pure DPC,No
27.9872538,-82.7456387,Pure DPC,No
39.3883604,-107.0838886,Pure DPC,No
35.55455740000001,-82.48194989999999,Pure DPC,No
26.5001196,-81.9129088,Unknown/Other,No
33.1993414,-96.6531267,Pure DPC,No
35.9387469,-86.8325449,Pure DPC,No
38.8054863,-77.05505219999999,Pure DPC,No
47.0468547,-122.9527886,Unknown/Other,No
47.922716,-122.2926529,Pure DPC,No
34.9574228,-81.04825260000001,Pure DPC,No
40.50171,-78.40890879999999,Unknown/Other,No
45.623503,-122.6468723,Pure DPC,No
32.8364143,-96.75287159999999,Pure DPC,No
38.3053798,-104.5986323,Pure DPC,No
40.7337899,-73.08562789999999,Pure DPC,No
35.2467653,-97.49558139999999,Pure DPC,No
31.6530516,-94.6522597,Hybrid,No
38.2775409,-85.5019841,Pure DPC,No
41.8883657,-87.79347109999999,Pure DPC,No
39.7069002,-104.9344136,Pure DPC,No
36.1133617,-94.15325589999999,Pure DPC,No
35.5228728,-97.56746679999999,Pure DPC,No
35.6181391,-97.4781456,Pure DPC,No
39.84526109999999,-75.7164554,Pure DPC,No
39.1454432,-84.374074,Pure DPC,No
39.013731,-94.71162749999999,Pure DPC,No
44.4535999,-73.16589809999999,Pure DPC,No
34.1233451,-93.080984,Pure DPC,No
35.1367362,-106.5501207,Pure DPC,No
44.7548274,-108.7535287,Pure DPC,No
35.163221,-106.593996,Pure DPC,No
47.7451637,-117.3975878,Unknown/Other,No
33.5342474,-111.9882528,Pure DPC,No
36.3208596,-76.2192027,Pure DPC,No
38.9283364,-94.69859749999999,Pure DPC,No
36.0311185,-95.90285,Pure DPC,No
39.1731914,-76.822159,Hybrid,No
42.2772042,-88.9779164,Pure DPC,No
36.6715572,-83.3680316,Pure DPC,No
36.3268426,-82.3502963,Pure DPC,No
19.7107434,-155.0787435,Pure DPC,No
43.6270842,-116.3554942,Hybrid,No
42.3182191,-122.8277692,Pure DPC,No
39.0072305,-84.635785,Pure DPC,No
39.4633652,-95.8115971,Pure DPC,No
32.7594982,-108.3152144,Unknown/Other,No
42.2719785,-84.98146659999999,Pure DPC,No
42.244635,-84.75208099999999,Pure DPC,No
34.8291302,-82.603619,Pure DPC,No
47.6618076,-122.2855469,Pure DPC,Yes
47.668368,-122.380854,Pure DPC,Yes
46.5855881,-120.5046437,Pure DPC,Yes
45.5206322,-122.6773577,Pure DPC,Yes
47.6177748,-122.3367197,Pure DPC,Yes
47.6106058,-122.3284982,Pure DPC,Yes
47.5970324,-122.3284846,Pure DPC,Yes
35.2192002,-111.6215125,Pure DPC,Yes
47.717666,-122.1790726,Pure DPC,No
39.6252004,-104.8227987,Hybrid,No
40.7585082,-89.59185010000002,Unknown/Other,No
45.9970521,-121.5277918,Pure DPC,No
35.7555382,-83.95107569999999,Pure DPC,No
37.8393332,-84.2700179,Pure DPC,Yes
39.9889677,-75.5530378,Unknown/Other,No
39.8106534,-75.52029999999999,Unknown/Other,No
40.0432803,-75.37634179999999,Unknown/Other,No
40.0121619,-75.21584050000001,Unknown/Other,No
39.9279131,-74.9695085,Unknown/Other,No
41.54048359999999,-96.14074869999999,Pure DPC,No
39.7223076,-105.1635551,Pure DPC,No
36.9288881,-84.1070783,Pure DPC,No
33.9070366,-84.3493306,Pure DPC,No
28.5393306,-81.3720566,Pure DPC,No
43.3189863,-88.3723864,Pure DPC,No
39.5286126,-104.765813,Hybrid,No
47.6064789,-122.3111299,Pure DPC,No
35.91727059999999,-86.82576019999999,Pure DPC,No
32.9376417,-96.4603961,Pure DPC,No
27.7708695,-82.636331,Pure DPC,No
32.8921801,-96.76834579999999,Pure DPC,No
39.1533813,-77.0543776,Pure DPC,No
30.3034863,-97.7401028,Pure DPC,No
30.3032751,-97.74031,Pure DPC,No
39.7658859,-121.8717731,Pure DPC,No
47.40535610000001,-120.2852673,Pure DPC,No
39.7872221,-89.7081668,Pure DPC,No
36.3054336,-86.6034026,Hybrid,No
40.078852,-75.126944,Unknown/Other,No
41.9050096,-71.9576623,Pure DPC,No
34.901552,-82.1042739,Pure DPC,Yes
41.00527599999999,-81.466889,Pure DPC,Yes
33.5450336,-81.6704675,Pure DPC,Yes
42.5402703,-83.1756035,Pure DPC,Yes
34.9479479,-81.932595,Pure DPC,Yes
34.941145,-81.9097309,Pure DPC,Yes
38.9266707,-94.63785159999999,Pure DPC,No
39.9124565,-88.9539921,Pure DPC,No
32.963697,-97.2481767,Pure DPC,No
40.0791634,-80.6934144,Hybrid,No
39.4269656,-80.192658,Hybrid,No
39.51397910000001,-80.2496525,Hybrid,No
